scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,K:272T,0.068,0.059,0.009000000000000008,0.008264285714285715,13,1,0.045,0.047,0.092,1,0.094,0.036,0.13,1,0.151,0.023,0.174
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,K:80K,0.0,0.01,0.01,0.008907142857142858,13,0,0.0,0.0,0.0,0,0.001,0.0,0.001,0,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,K:88I,0.001,0.0,0.001,0.0005714285714285715,13,1,0.003,0.0,0.003,1,0.005,0.0,0.005,1,0.01,0.0,0.01
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,West Asia,J.2.4,0.004,0.0,0.004,0.003064285714285714,13,0,0.003,0.003,0.006,0,0.006999999999999999,0.002,0.009,0,0.011,0.002,0.013
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2,0.003,0.25,0.247,0.24289285714285708,14,0,0.003,0.002,0.005,0,0.006,0.002,0.008,0,0.011,0.001,0.012
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2.2,0.0,0.0,0.0,0.00010714285714285715,14,1,0.001,0.0,0.001,1,0.001,0.0,0.001,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2.3,0.0,0.0,0.0,5.0000000000000016e-05,14,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2.4:160K,0.109,0.0,0.109,0.08076428571428572,14,0,0.06899999999999999,0.081,0.15,0,0.11699999999999999,0.064,0.181,0,0.16899999999999998,0.05,0.219
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2.4:79V-144N-158D-160K-328A,0.002,0.0,0.002,0.0015357142857142859,14,0,0.005,0.001,0.006,1,0.014,0.0,0.014,1,0.029,0.0,0.029
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K,0.67,0.25,0.42000000000000004,0.34741428571428573,14,0,0.09599999999999997,0.617,0.713,0,0.16500000000000004,0.574,0.739,0,0.258,0.518,0.776
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:145N,0.006,0.0,0.006,0.004671428571428571,14,0,0.015000000000000001,0.002,0.017,0,0.039,0.001,0.04,1,0.108,0.0,0.108
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:223I,0.001,0.0,0.001,0.0011142857142857144,14,1,0.005,0.0,0.005,1,0.012,0.0,0.012,1,0.038,0.0,0.038
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:272T,0.043,0.0,0.043,0.029500000000000002,14,0,0.033,0.029,0.062,0,0.054,0.022,0.076,0,0.084,0.015,0.099
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:328T,0.02,0.0,0.02,0.011771428571428572,14,0,0.025,0.009,0.034,0,0.053000000000000005,0.005,0.058,0,0.106,0.003,0.109
